Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
Metabat2.53	o__Rhodospirillales (UID3754)	63	336	201	40	295	1	0	0	0	90.62	0.5	0
Metabat2.20	f__Moraxellaceae (UID4680)	86	689	365	54	630	5	0	0	0	90.12	0.75	100
Metabat2.56	c__Alphaproteobacteria (UID3422)	26	529	308	48	472	9	0	0	0	89.67	1.72	44.44
Metabat2.4	k__Bacteria (UID2142)	169	316	236	39	272	5	0	0	0	85.7	1.69	80
Metabat2.24	o__Thermoanaerobacterales (UID1420)	32	488	209	59	419	9	1	0	0	83.47	2.45	33.33
Metabat2.29	o__Burkholderiales (UID4000)	193	427	214	56	368	3	0	0	0	83.18	0.72	66.67
Metabat2.43	o__Rhizobiales (UID3654)	92	481	319	89	378	14	0	0	0	80.17	3.71	71.43
Metabat2.50	o__Cytophagales (UID2938)	28	439	266	115	320	4	0	0	0	71.45	0.9	0
Metabat2.52	c__Betaproteobacteria (UID3959)	235	419	211	162	251	6	0	0	0	62.34	1.51	16.67
Metabat2.80	k__Bacteria (UID203)	5449	104	58	63	40	1	0	0	0	60.34	1.72	100
Metabat2.68	k__Bacteria (UID2142)	169	316	236	119	194	3	0	0	0	59.08	1.06	0
Metabat2.44	k__Bacteria (UID203)	5449	104	58	68	33	3	0	0	0	56.19	5.17	100
Metabat2.76	k__Bacteria (UID203)	5449	104	58	30	67	7	0	0	0	53.39	3.37	0
Metabat2.46	k__Bacteria (UID203)	5449	104	58	75	29	0	0	0	0	48.28	0	0
Metabat2.2	o__Rhodospirillales (UID3754)	63	336	201	175	150	11	0	0	0	41.4	0.75	0
Metabat2.33	k__Bacteria (UID2570)	433	273	183	133	138	2	0	0	0	39.82	0.56	50
Metabat2.38	k__Bacteria (UID203)	5449	104	58	71	31	2	0	0	0	39.34	3.45	0
Metabat2.34	k__Bacteria (UID203)	5449	104	58	77	27	0	0	0	0	38.79	0	0
Metabat2.61	k__Bacteria (UID203)	5449	104	58	82	22	0	0	0	0	36.21	0	0
Metabat2.73	k__Bacteria (UID3187)	2258	181	110	106	75	0	0	0	0	35.89	0	0
Metabat2.19	k__Bacteria (UID203)	5449	104	58	80	23	1	0	0	0	34.66	1.72	100
Metabat2.59	k__Bacteria (UID203)	5449	103	57	83	20	0	0	0	0	29.12	0	0
Metabat2.63	k__Bacteria (UID203)	5449	104	58	89	14	1	0	0	0	24.14	1.72	100
Metabat2.10	c__Gammaproteobacteria (UID4761)	52	693	297	511	181	1	0	0	0	21.92	0.06	0
Metabat2.36	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	19.23	0	0
Metabat2.37	f__Xanthomonadaceae (UID4214)	55	659	290	488	168	3	0	0	0	18.9	0.53	66.67
Metabat2.12	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	14.81	0	0
Metabat2.48	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0	0
Metabat2.54	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	10.34	0	0
Metabat2.74	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0
Metabat2.65	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	9.48	0	0
Metabat2.39	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	6.9	0	0
Metabat2.70	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	3.61	0	0
Metabat2.14	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	1.72	0	0
Metabat2.28	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.30	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.42	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.5	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.55	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.6	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.62	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.64	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.69	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.75	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0
Metabat2.41	o__Burkholderiales (UID4000)	193	427	214	14	389	24	0	0	0	97.43	7.48	37.5
Metabat2.40	k__Bacteria (UID203)	5449	104	58	13	9	76	5	1	0	92.16	92.71	77.32
